,rounds,team_one,team_two,team_one_score,team_two_score,referee,venue,team_one_penalties,team_two_penalties,team_one_reds,team_two_reds,team_one_yellows,team_two_yellows
55,Week 15,Chiefs,NSW Waratahs,46,31,Paul Williams,FMG Stadium Waikato,12,8,0,0,1,2
56,Week 4,NSW Waratahs,Brumbies,12,28,Glen Jackson,Allianz Stadium,9,7,0,0,0,1
57,Week 14,Reds,Force,26,40,Brendon Pickerill,Suncorp Stadium,11,6,0,0,2,0
58,Week 17,Bulls,Stormers,33,41,Quinton Immelman,Loftus Versfeld,9,4,0,0,1,0
59,Week 11,Sharks,Force,37,12,Rasta Rasivhenge,Kings Park Stadium,4,10,0,0,0,1
60,Week 8,Reds,Kings,47,34,Quinton Immelman,Suncorp Stadium,7,10,0,0,1,1
61,Week 12,Jaguares,Force,6,16,Ben O'keeffe,Estadio Jose Amalfitani,10,10,0,0,0,1
62,Week 16,Stormers,Sunwolves,52,15,Quinton Immelman,DHL Newlands,3,4,0,0,0,1
63,Week 12,Bulls,Highlanders,10,17,Jaco Van heerden,Loftus Versfeld,4,8,1,1,0,0
64,Week 11,Chiefs,Reds,46,17,Jamie Nutbrown,Yarrow Stadium,10,5,0,0,0,1
65,Week 5,Brumbies,Highlanders,13,18,Marius van der westhuizen,GIO Stadium,8,9,0,0,0,0
66,Week 8,Stormers,Lions,16,29,Jaco Peyper,DHL Newlands,11,7,0,0,0,1
67,Week 6,Lions,Sharks,34,29,Jaco Van heerden,Emirates Airlines Park,8,15,0,0,0,1
68,Week 13,Hurricanes,Cheetahs,61,7,Nic Berry,Westpac Stadium,8,11,0,0,0,1
69,Week 6,Highlanders,Rebels,51,12,Glen Jackson,Forsyth Barr Stadium,7,10,0,0,0,0
70,Week 14,Sharks,Stormers,22,10,Marius van der westhuizen,Kings Park Stadium,14,6,0,0,0,0
71,Week 6,Stormers,Cheetahs,53,10,Rasta Rasivhenge,DHL Newlands,10,5,0,0,0,0
72,Week 10,Jaguares,Sharks,25,33,Jaco Peyper,Estadio Jose Amalfitani,8,10,0,0,0,1
73,Week 11,NSW Waratahs,Blues,33,40,Angus Gardner,Allianz Stadium,8,9,0,0,0,0
74,Week 9,Sharks,Rebels,9,9,Marius van der westhuizen,Kings Park Stadium,6,19,1,1,0,2
75,Week 15,Brumbies,Rebels,32,3,Nick Briant,GIO Stadium,6,10,0,0,0,0
76,Week 17,Hurricanes,Crusaders,31,22,Glen Jackson,Westpac Stadium,7,15,0,0,0,0
77,Week 14,Blues,Chiefs,16,16,Nick Briant,Eden Park,4,11,0,0,0,0
78,Week 3,Reds,Crusaders,20,22,Will Houston,Suncorp Stadium,8,10,0,0,0,1
79,Week 4,Jaguares,Cheetahs,41,14,Paul Williams,Estadio Jose Amalfitani,12,13,0,0,1,0
80,Qualifiers,Lions,Sharks,23,21,Marius van der westhuizen,Emirates Airlines Park,6,13,0,0,1,1
81,Week 16,Force,Rebels,31,22,Will Houston,nib Stadium,12,6,0,0,1,0
82,Week 4,Crusaders,Blues,33,24,Brendon Pickerill,AMI Stadium,9,12,0,0,0,0
83,Week 15,Lions,Sunwolves,94,7,Egon Seconds,Emirates Airlines Park,6,3,0,0,0,0
84,Week 7,Highlanders,Blues,26,20,Jamie Nutbrown,Forsyth Barr Stadium,10,6,0,0,0,0
85,Week 6,Chiefs,Bulls,28,12,Nick Briant,FMG Stadium Waikato,11,11,0,0,0,0
86,Week 13,Sunwolves,Sharks,17,38,Rohan Hoffmann,Singapore National Stadium,10,7,0,0,0,0
87,Week 16,Hurricanes,Chiefs,14,17,Nick Briant,Westpac Stadium,4,7,0,0,0,1
88,Week 14,Jaguares,Brumbies,15,39,Michael Fraser,Estadio Jose Amalfitani,9,8,0,0,1,0
89,Week 1 ,Sunwolves,Hurricanes,17,83,Egon Seconds,Prince Chichibu Memorial Stadium,6,15,0,0,0,1
90,Week 11,Bulls,Crusaders,24,62,Nic Berry,Loftus Versfeld,10,8,0,0,0,0
91,Week 5,Sunwolves,Stormers,31,44,Federico Anselmi,Singapore National Stadium,10,5,0,0,1,2
92,Final,Lions,Crusaders,17,25,Jaco Peyper,Emirates Airlines Park,11,11,1,0,0,0
93,Week 3,Kings,Stormers,10,41,Shuhei Kubo,Nelson Mandela Bay Stadium,15,10,0,0,0,0
94,Week 17,Highlanders,Reds,40,17,Michael Fraser,Forsyth Barr Stadium,6,8,0,0,0,0
95,Week 12,Rebels,Reds,24,29,Marius van der westhuizen,AAMI Park,8,11,0,0,0,1
96,Week 8,Rebels,Brumbies,19,17,Glen Jackson,AAMI Park,10,12,0,0,3,0
97,Week 17,Sharks,Lions,10,27,Marius van der westhuizen,Kings Park Stadium,14,7,0,0,0,0
98,Week 10,Chiefs,Sunwolves,27,20,Will Houston,FMG Stadium Waikato,12,12,0,1,0,1
99,Week 12,Blues,Cheetahs,50,32,Brendon Pickerill,Eden Park,12,11,0,0,0,0
100,Week 2,Stormers,Jaguares,32,25,Jaco Peyper,DHL Newlands,8,11,0,0,0,2
101,Week 10,Reds,NSW Waratahs,26,29,Paul Williams,Suncorp Stadium,16,4,0,0,1,0
102,Week 9,Crusaders,Stormers,57,24,Paul Williams,AMI Stadium,8,10,0,0,0,0
103,Week 13,Kings,Brumbies,10,19,Jaco Peyper,Nelson Mandela Bay Stadium,12,6,0,0,1,1
104,Week 13,NSW Waratahs,Rebels,50,23,Angus Gardner,Allianz Stadium,10,5,0,0,2,0
105,Week 8,Cheetahs,Chiefs,27,41,Jaco Van heerden,Toyota Stadium,5,14,0,0,0,1
106,Week 9,Hurricanes,Brumbies,56,21,Brendon Pickerill,McLean Park,5,8,0,0,0,1
107,Week 10,Brumbies,Blues,12,18,Nick Briant,GIO Stadium,7,8,0,0,0,0
108,Week 12,Brumbies,Lions,6,13,Paul Williams,GIO Stadium,8,11,0,0,0,0
109,Week 11,Hurricanes,Stormers,41,22,Glen Jackson,Westpac Stadium,16,14,0,0,1,1
110,Week 14,Lions,Kings,54,10,Jaco Peyper,Emirates Airlines Park,11,8,1,0,0,2
111,Week 16,Reds,Brumbies,16,15,Brendon Pickerill,Suncorp Stadium,7,6,0,0,1,0
112,Week 3,Chiefs,Hurricanes,26,18,Brendon Pickerill,FMG Stadium Waikato,9,9,0,0,1,2
113,Week 1 ,Cheetahs,Lions,25,28,Quinton Immelman,Toyota Stadium,12,10,0,0,1,1
114,Week 2,Cheetahs,Bulls,34,28,Shuhei Kubo,Toyota Stadium,7,7,0,0,0,0
115,Week 1 ,Stormers,Bulls,37,24,Jaco Van heerden,DHL Newlands,12,12,0,0,0,1
116,Week 12,Kings,Sharks,35,32,Federico Anselmi,Nelson Mandela Bay Stadium,11,6,0,0,1,1
117,Week 5,Blues,Bulls,38,14,Nic Berry,QBE Stadium,10,11,0,0,1,0
118,Week 17,Sunwolves,Blues,48,21,Rasta Rasivhenge,Prince Chichibu Memorial Stadium,7,7,0,0,0,1
119,Week 13,Chiefs,Crusaders,24,31,Michael Fraser,"ANZ National Stadium, Suva",9,4,0,0,0,0
120,Week 14,Rebels,Crusaders,19,41,Glen Jackson,AAMI Park,8,13,0,0,1,0
121,Week 1 ,Highlanders,Chiefs,15,24,Michael Fraser,Forsyth Barr Stadium,10,11,0,0,0,0
122,Week 2,Highlanders,Crusaders,27,30,Paul Williams,Forsyth Barr Stadium,10,6,0,0,1,0
123,Week 9,Force,Chiefs,7,16,Nic Berry,nib Stadium,7,10,0,0,0,0
124,Week 3,Brumbies,Force,25,17,Peter Hoffmann,GIO Stadium,8,15,0,0,0,1
125,Week 11,Jaguares,Sunwolves,46,39,Jaco Van heerden,Estadio Jose Amalfitani,9,11,0,0,0,1
126,Week 7,Brumbies,Reds,43,10,Nick Briant,GIO Stadium,6,12,0,0,0,0
127,Week 10,Kings,Rebels,44,3,Marius van der westhuizen,Nelson Mandela Bay Stadium,11,5,0,0,0,0
128,Week 16,NSW Waratahs,Jaguares,27,40,Ben O'keeffe,Allianz Stadium,12,15,0,0,1,2
129,Week 2,Hurricanes,Rebels,71,6,Nic Berry,Westpac Stadium,5,8,0,0,0,0
130,Week 5,Kings,Lions,19,42,Quinton Immelman,Nelson Mandela Bay Stadium,8,7,0,0,0,0
131,Week 5,Crusaders,Force,45,17,Rohan Hoffmann,AMI Stadium,17,13,0,0,1,1
132,Week 14,Highlanders,NSW Waratahs,44,28,Ben O'keeffe,Forsyth Barr Stadium,8,11,0,0,0,1
133,Week 2,Lions,NSW Waratahs,55,36,Jaco Van heerden,Emirates Airlines Park,8,15,0,0,1,2
134,Week 14,Bulls,Hurricanes,20,34,Egon Seconds,Loftus Versfeld,5,14,0,0,0,0
135,Week 16,Bulls,Kings,30,31,Federico Anselmi,Loftus Versfeld,6,11,0,0,1,2
136,Week 2,Force,Reds,26,19,Federico Anselmi,nib Stadium,12,17,0,0,0,1
137,Week 14,Sunwolves,Cheetahs,7,47,Will Houston,Prince Chichibu Memorial Stadium,10,7,0,0,0,0
138,Week 2,Brumbies,Sharks,22,27,Angus Gardner,GIO Stadium,11,10,0,0,1,0
139,Week 7,Sharks,Jaguares,18,13,Angus Gardner,Kings Park Stadium,8,7,0,0,0,1
