,rounds,team_one,team_two,team_one_score,team_two_score,referee,venue,team_one_penalties,team_two_penalties,team_one_reds,team_two_reds,team_one_yellows,team_two_yellows
0,Week 15,Crusaders,Highlanders,25,22,Glen Jackson,AMI Stadium,9,8,0,0,1,0
1,Week 4,Sharks,Kings,19,17,Egon Seconds,Kings Park Stadium,7,12,0,0,0,2
2,Week 5,Cheetahs,Sharks,30,38,Jaco Peyper,Toyota Stadium,11,11,0,0,1,2
3,Week 4,Hurricanes,Highlanders,41,15,Angus Gardner,Westpac Stadium,5,6,0,0,1,1
4,Week 6,Reds,Hurricanes,15,34,Angus Gardner,Suncorp Stadium,5,9,0,0,0,1
5,Qualifiers,Stormers,Chiefs,11,17,Jaco Peyper,DHL Newlands,9,10,0,0,0,1
6,Week 15,Blues,Reds,34,29,Ben O'keeffe,Apia Park,7,4,0,0,0,0
7,Week 1 ,NSW Waratahs,Force,19,13,Ben O'keeffe,Allianz Stadium,9,15,0,0,1,1
8,Week 17,Rebels,Jaguares,29,32,Angus Gardner,AAMI Park,7,9,0,0,0,0
9,Week 4,Lions,Reds,44,14,Michael Fraser,Emirates Airlines Park,8,13,0,1,0,1
10,Week 1 ,Rebels,Blues,18,56,Angus Gardner,AAMI Park,5,11,0,0,0,1
11,Week 13,Lions,Bulls,51,14,Quinton Immelman,Emirates Airlines Park,9,10,0,0,0,0
12,Week 7,Stormers,Chiefs,34,26,Jaco Peyper,DHL Newlands,7,5,0,0,1,0
13,Week 1 ,Crusaders,Brumbies,17,13,Glen Jackson,AMI Stadium,8,7,0,0,0,1
14,Semi Final,Crusaders,Chiefs,27,13,Glen Jackson,AMI Stadium,7,5,0,0,0,0
15,Week 2,Chiefs,Blues,41,26,Ben O'keeffe,FMG Stadium Waikato,14,5,0,1,0,0
16,Week 13,Force,Highlanders,6,55,Shuhei Kubo,nib Stadium,7,5,0,0,2,0
17,Week 15,Jaguares,Kings,30,31,Jamie Nutbrown,Estadio Jose Amalfitani,9,12,0,0,0,0
18,Week 2,Sunwolves,Kings,23,37,Marius van der westhuizen,Singapore National Stadium,9,10,0,0,0,0
19,Week 4,Bulls,Sunwolves,34,21,Jamie Nutbrown,Loftus Versfeld,7,9,1,0,0,0
20,Week 15,Sharks,Bulls,17,30,Angus Gardner,Kings Park Stadium,11,6,0,0,1,0
21,Week 7,Hurricanes,NSW Waratahs,38,28,Marius van der westhuizen,Westpac Stadium,9,3,1,0,1,0
22,Week 3,Sharks,NSW Waratahs,37,14,Marius van der westhuizen,Kings Park Stadium,6,11,0,0,0,1
23,Week 5,Rebels,NSW Waratahs,25,32,Brendon Pickerill,AAMI Park,15,7,0,0,1,0
24,Week 6,NSW Waratahs,Crusaders,22,41,Marius van der westhuizen,Allianz Stadium,8,9,0,0,0,0
25,Week 3,Blues,Highlanders,12,16,Glen Jackson,Eden Park,4,8,0,0,0,1
26,Week 9,Lions,Jaguares,24,21,Angus Gardner,Emirates Airlines Park,9,12,0,0,1,0
27,Week 15,Cheetahs,Stormers,34,40,Jaco Van heerden,Toyota Stadium,14,11,1,1,1,2
28,Semi Final,Lions,Hurricanes,44,29,Jaco Peyper,Emirates Airlines Park,5,8,0,0,0,1
29,Week 8,Bulls,Jaguares,26,13,Ben O'keeffe,Loftus Versfeld,11,13,0,0,0,1
30,Week 11,Cheetahs,Highlanders,41,45,Marius van der westhuizen,Toyota Stadium,10,8,0,0,1,2
31,Qualifiers,Crusaders,Highlanders,17,0,Angus Gardner,AMI Stadium,6,9,0,0,0,1
32,Week 10,Highlanders,Stormers,57,14,Glen Jackson,Forsyth Barr Stadium,12,9,0,0,1,0
33,Week 3,Jaguares,Lions,36,24,Nick Briant,Estadio Jose Amalfitani,11,11,0,0,1,2
34,Week 8,Crusaders,Sunwolves,50,3,Nic Berry,AMI Stadium,8,12,0,0,1,0
35,Week 8,Blues,Hurricanes,24,28,Michael Fraser,Eden Park,7,8,0,0,0,1
36,Week 9,Bulls,Cheetahs,20,14,Ben O'keeffe,Loftus Versfeld,12,8,0,0,0,0
37,Week 11,Rebels,Lions,10,47,Shuhei Kubo,AAMI Park,6,12,0,0,1,0
38,Week 10,Force,Lions,15,24,Michael Fraser,nib Stadium,15,9,0,0,0,0
39,Week 1 ,Kings,Jaguares,26,39,Jaco Peyper,Nelson Mandela Bay Stadium,9,12,0,0,1,2
40,Week 12,Crusaders,Hurricanes,20,12,Jaco Peyper,AMI Stadium,11,12,0,0,0,0
41,Week 1 ,Reds,Sharks,28,26,Nick Briant,Suncorp Stadium,11,11,0,0,2,0
42,Qualifiers,Brumbies,Hurricanes,16,35,Glen Jackson,GIO Stadium,7,10,0,0,0,1
43,Week 4,Rebels,Chiefs,14,27,Federico Anselmi,AAMI Park,9,12,0,0,0,2
44,Week 9,Highlanders,Sunwolves,40,15,Jamie Nutbrown,Rugby Park,11,6,0,0,0,0
45,Week 9,NSW Waratahs,Kings,24,26,Rohan Hoffmann,Allianz Stadium,16,11,0,0,1,1
46,Week 13,Stormers,Blues,30,22,Jaco Van heerden,DHL Newlands,9,13,0,1,1,1
47,Week 5,Jaguares,Reds,22,8,Michael Fraser,Estadio Jose Amalfitani,14,10,0,0,1,2
48,Week 7,Sunwolves,Bulls,21,20,Will Houston,Prince Chichibu Memorial Stadium,8,9,0,0,0,1
49,Week 17,Chiefs,Brumbies,28,10,Ben O'keeffe,FMG Stadium Waikato,11,11,0,0,0,1
50,Week 10,Cheetahs,Crusaders,21,48,Federico Anselmi,Toyota Stadium,11,10,0,0,1,2
51,Week 17,Force,NSW Waratahs,40,11,Nic Berry,nib Stadium,9,14,0,0,0,1
52,Week 15,Force,Hurricanes,12,34,Rohan Hoffmann,nib Stadium,8,14,0,0,1,1
53,Week 3,Cheetahs,Sunwolves,38,31,Rasta Rasivhenge,Toyota Stadium,7,10,0,0,0,1
54,Week 6,Blues,Force,24,15,Shuhei Kubo,Eden Park,5,9,0,0,0,1
