,rounds,team_one,team_two,team_one_score,team_two_score,referee,venue,team_one_penalties,team_two_penalties,team_one_reds,team_two_reds,team_one_yellows,team_two_yellows
19,Week 5,Stormers,Blues,37,20,Nic Berry,DHL Newlands,12,10,0,0,0,0
20,Week 18,Reds,Rebels,37,23,Paul Williams,Suncorp Stadium,11,17,0,0,1,1
21,Week 6,Rebels,Sharks,46,14,Shuhei Kubo,AAMI Park,9,11,0,0,1,1
22,Week 6,Sunwolves,Chiefs,10,61,Will Houston,Prince Chichibu Memorial Stadium,6,11,0,0,0,0
23,Week 8,Lions,Stormers,52,31,Jaco Peyper,Emirates Airlines Park,13,7,0,0,1,0
24,Week 6,Crusaders,Bulls,33,14,Federico Anselmi,Christchurch Stadium,12,8,0,0,1,0
25,Week 8,Brumbies,Reds,45,21,Ben O'keeffe,GIO Stadium,11,10,0,0,0,1
26,Week 15,Crusaders,Hurricanes,24,13,Angus Gardner,Christchurch Stadium,6,14,0,0,0,0
27,Week 18,Chiefs,Brumbies,24,19,Rasta Rasivhenge,FMG Stadium Waikato,12,3,0,0,1,0
28,Week 16,Chiefs,Crusaders,20,34,Nic Berry,FMG Stadium Waikato,10,8,0,0,0,0
29,Week 3,Crusaders,Stormers,45,28,Nic Berry,Christchurch Stadium,11,8,0,0,1,0
30,Week 16,Reds,NSW Waratahs,41,52,Angus Gardner,Suncorp Stadium,7,10,0,0,1,0
31,Week 2,Crusaders,Chiefs,45,23,Ben O'keeffe,Christchurch Stadium,10,10,0,0,2,1
32,Week 2,NSW Waratahs,Stormers,34,27,Angus Gardner,Allianz Stadium,12,9,0,0,1,0
33,Week 14,NSW Waratahs,Highlanders,41,12,Brendon Pickerill,Allianz Stadium,7,9,0,1,0,1
34,Week 8,Chiefs,Blues,21,19,Paul Williams,FMG Stadium Waikato,9,12,0,0,0,1
35,Week 3,Sunwolves,Rebels,17,37,Egon Seconds,Prince Chichibu Memorial Stadium,3,16,0,0,1,1
36,Week 7,Bulls,Stormers,33,23,Marius van der westhuizen,Loftus Versfeld,12,12,0,0,1,2
37,Week 5,NSW Waratahs,Rebels,51,27,Brendon Pickerill,Allianz Stadium,5,6,0,0,0,0
38,Week 10,Crusaders,Sunwolves,33,11,Brendon Pickerill,Christchurch Stadium,8,12,0,0,0,0
39,Week 13,Sunwolves,Reds,63,28,Egon Seconds,Prince Chichibu Memorial Stadium,7,12,0,0,0,1
40,Week 11,Hurricanes,Sunwolves,43,15,Jamie Nutbrown,Westpac Stadium,9,12,0,0,0,0
41,Week 10,Bulls,Rebels,28,10,Ben O'keeffe,Loftus Versfeld,14,11,0,0,0,0
42,Week 9,Highlanders,Brumbies,43,17,Ben O'keeffe,Forsyth Barr Stadium,12,2,0,0,1,0
43,Week 15,Rebels,Sunwolves,40,13,Federico Anselmi,AAMI Park,11,7,0,0,0,1
44,Week 13,Crusaders,NSW Waratahs,31,29,Ben O'keeffe,Christchurch Stadium,7,17,0,0,0,2
45,Quarter Final,Crusaders,Sharks,40,10,Michael Fraser,Christchurch Stadium,10,8,0,0,0,0
46,Week 19,Crusaders,Blues,54,17,Federico Anselmi,Christchurch Stadium,11,4,0,0,0,0
47,Week 11,Brumbies,Crusaders,8,21,Jaco Peyper,GIO Stadium,11,12,0,0,1,2
48,Week 12,Sharks,Highlanders,38,12,Marius van der westhuizen,Jonsson Kings Park,6,10,0,0,0,0
49,Week 16,Blues,Rebels,10,20,Nick Briant,Eden Park,13,10,0,0,0,0
50,Week 12,Stormers,Bulls,29,17,Glen Jackson,DHL Newlands,13,14,0,0,1,0
51,Week 8,Jaguares,Crusaders,14,40,Marius van der westhuizen,Estadio Jose Amalfitani,6,11,0,0,0,0
52,Week 2,Lions,Jaguares,47,27,Jaco Peyper,Emirates Airlines Park,9,12,0,0,0,2
53,Week 12,NSW Waratahs,Blues,21,24,Jaco Peyper,Brookvale Oval,12,9,0,0,0,1
54,Semi Final,Crusaders,Hurricanes,30,12,Jaco Peyper,Christchurch Stadium,5,7,0,0,0,0
55,Week 17,Rebels,NSW Waratahs,26,31,Nic Berry,AAMI Park,8,14,0,0,1,0
56,Week 10,Sharks,Stormers,24,17,Glen Jackson,Jonsson Kings Park,10,7,0,0,0,1
57,Week 12,Hurricanes,Lions,28,19,Nic Berry,Westpac Stadium,12,10,0,0,0,0
58,Week 13,Highlanders,Lions,39,27,Angus Gardner,Forsyth Barr Stadium,12,8,0,0,0,0
59,Week 4,Rebels,Brumbies,33,10,Will Houston,AAMI Park,13,8,0,0,1,1
60,Week 2,Rebels,Reds,45,19,Brendon Pickerill,AAMI Park,11,8,0,1,0,1
61,Week 19,Highlanders,Rebels,43,37,Glen Jackson,Forsyth Barr Stadium,9,8,0,0,0,1
62,Week 9,Hurricanes,Chiefs,25,13,Jamie Nutbrown,Westpac Stadium,10,11,0,0,0,0
63,Week 7,Chiefs,Highlanders,27,22,Glen Jackson,FMG Stadium Waikato,6,6,0,0,0,0
64,Week 19,Chiefs,Hurricanes,28,24,Michael Fraser,FMG Stadium Waikato,8,5,1,0,0,0
65,Week 8,Hurricanes,Sharks,38,37,Nic Berry,McLean Park,5,16,0,0,0,1
66,Week 15,Bulls,Brumbies,28,38,Marius van der westhuizen,Loftus Versfeld,11,11,0,1,0,0
67,Week 14,Blues,Crusaders,24,32,Glen Jackson,Eden Park,10,7,0,0,0,1
68,Week 4,Lions,Blues,35,38,Nic Berry,Emirates Airlines Park,6,6,0,0,0,0
69,Week 15,Jaguares,Sharks,29,13,Paul Williams,Estadio Jose Amalfitani,9,10,0,1,0,0
70,Week 4,Highlanders,Stormers,33,15,Glen Jackson,Forsyth Barr Stadium,11,8,0,0,0,0
71,Week 17,Brumbies,Hurricanes,24,12,Nick Briant,GIO Stadium,6,12,0,0,0,1
72,Week 14,Jaguares,Bulls,54,24,Federico Anselmi,Estadio Jose Amalfitani,7,11,0,0,1,0
73,Week 13,Blues,Hurricanes,15,36,Jaco Peyper,Eden Park,14,6,0,0,0,0
74,Week 12,Rebels,Crusaders,10,55,Nick Briant,AAMI Park,12,6,0,0,1,2
75,Week 15,Stormers,Lions,23,26,Nick Briant,DHL Newlands,13,14,1,0,2,0
76,Week 7,Brumbies,NSW Waratahs,17,24,Paul Williams,GIO Stadium,10,10,0,0,0,0
77,Week 2,Sunwolves,Brumbies,25,32,Paul Williams,Prince Chichibu Memorial Stadium,10,7,0,0,0,0
78,Week 8,Sunwolves,NSW Waratahs,29,50,Angus Gardner,Prince Chichibu Memorial Stadium,3,15,0,0,0,1
79,Week 6,Jaguares,Lions,49,35,Jamie Nutbrown,Estadio Jose Amalfitani,12,6,0,0,0,0
80,Week 6,Hurricanes,Highlanders,29,12,Michael Fraser,Westpac Stadium,6,8,0,0,0,0
81,Week 5,Brumbies,Sharks,24,17,Glen Jackson,GIO Stadium,12,14,0,0,2,0
82,Week 15,Reds,Highlanders,15,18,Rasta Rasivhenge,Suncorp Stadium,10,6,0,0,0,0
83,Week 5,Jaguares,Reds,7,18,Paul Williams,Estadio Jose Amalfitani,10,14,0,0,0,0
84,Week 3,Sharks,NSW Waratahs,24,24,Jaco Peyper,Jonsson Kings Park,3,8,0,0,0,0
85,Week 14,Sunwolves,Stormers,26,23,Nic Berry,Mong Kok Stadium,9,3,0,0,0,0
86,Week 10,NSW Waratahs,Lions,0,29,Michael Fraser,Allianz Stadium,12,8,0,0,0,0
87,Week 4,Hurricanes,Crusaders,29,19,Brendon Pickerill,Westpac Stadium,11,12,0,0,0,0
88,Week 13,Stormers,Chiefs,9,15,Michael Fraser,DHL Newlands,15,8,0,0,0,0
89,Week 10,Brumbies,Jaguares,20,25,Angus Gardner,GIO Stadium,10,10,0,0,0,1
90,Week 18,Crusaders,Highlanders,45,22,Brendon Pickerill,Christchurch Stadium,10,11,0,0,0,0
91,Week 1 ,Stormers,Jaguares,28,20,Jaco Peyper,DHL Newlands,13,15,0,0,1,1
92,Week 5,Lions,Sunwolves,40,38,Rasta Rasivhenge,Emirates Airlines Park,8,12,0,0,0,0
93,Week 12,Chiefs,Jaguares,19,23,Michael Fraser,Rotorua International Stadium,10,12,0,0,2,0
94,Week 4,Sharks,Sunwolves,50,22,Federico Anselmi,Jonsson Kings Park,10,4,0,0,0,0
95,Week 3,Bulls,Lions,35,49,Marius van der westhuizen,Loftus Versfeld,11,12,0,0,2,0
96,Week 5,Highlanders,Crusaders,25,17,Nick Briant,Forsyth Barr Stadium,9,7,0,0,1,0
97,Week 17,Blues,Reds,39,16,Egon Seconds,Eden Park,14,11,0,0,2,2
98,Week 18,Hurricanes,Blues,42,24,Ben O'keeffe,Westpac Stadium,8,8,0,0,0,0
99,Quarter Final,NSW Waratahs,Highlanders,30,23,Angus Gardner,Allianz Stadium,9,9,0,0,1,1
100,Week 9,Sharks,Bulls,10,40,Egon Seconds,Jonsson Kings Park,11,10,0,0,1,0
101,Week 7,Lions,Crusaders,8,14,Jaco Peyper,Emirates Airlines Park,8,12,0,0,0,0
102,Week 14,Sharks,Chiefs,28,24,Michael Fraser,Jonsson Kings Park,5,10,0,0,0,0
103,Week 10,Blues,Highlanders,16,34,Marius van der westhuizen,Eden Park,7,8,0,0,0,0
104,Week 7,Blues,Sharks,40,63,Nick Briant,Eden Park,10,6,0,0,1,1
105,Week 17,Sharks,Lions,31,24,Jaco Peyper,Jonsson Kings Park,10,7,0,0,0,0
106,Week 11,Reds,Lions,27,22,Angus Gardner,Suncorp Stadium,9,12,0,0,0,0
107,Week 9,Sunwolves,Blues,10,24,Nick Briant,Prince Chichibu Memorial Stadium,9,7,0,0,0,1
108,Week 11,Stormers,Rebels,34,18,Ben O'keeffe,DHL Newlands,13,12,0,0,0,0
109,Week 9,Rebels,Jaguares,22,25,Nic Berry,AAMI Park,14,9,0,0,1,0
110,Week 11,Blues,Jaguares,13,20,Paul Williams,Eden Park,15,9,0,0,1,0
111,Week 18,NSW Waratahs,Sunwolves,77,25,Federico Anselmi,Allianz Stadium,5,8,0,1,0,1
112,Quarter Final,Lions,Jaguares,40,23,Jaco Peyper,Emirates Airlines Park,10,13,0,0,0,0
113,Week 3,Reds,Brumbies,18,10,Angus Gardner,Suncorp Stadium,5,13,0,0,1,0
114,Week 13,Brumbies,Rebels,24,27,Nic Berry,GIO Stadium,10,12,0,0,0,1
115,Week 10,Reds,Chiefs,12,36,Jaco Peyper,Suncorp Stadium,8,11,0,0,0,0
116,Week 1 ,Lions,Sharks,26,19,Glen Jackson,Emirates Airlines Park,7,11,0,0,0,0
117,Week 16,Brumbies,Sunwolves,41,31,Rasta Rasivhenge,GIO Stadium,5,10,0,0,1,0
118,Week 14,Lions,Brumbies,42,24,Nick Briant,Emirates Airlines Park,9,17,0,1,0,2
119,Week 15,Chiefs,NSW Waratahs,39,27,Glen Jackson,FMG Stadium Waikato,8,5,0,0,0,0
120,Week 2,Highlanders,Blues,41,34,Jamie Nutbrown,Forsyth Barr Stadium,7,11,0,0,0,1
121,Week 4,Reds,Bulls,20,14,Jamie Nutbrown,Suncorp Stadium,5,15,0,0,0,0
122,Final,Crusaders,Lions,37,18,Angus Gardner,Christchurch Stadium,15,6,0,0,1,0
123,Week 11,Bulls,Highlanders,28,29,Glen Jackson,Loftus Versfeld,12,14,0,0,0,1
124,Week 7,Rebels,Hurricanes,19,50,Angus Gardner,AAMI Park,12,10,0,0,1,0
125,Week 19,Reds,Sunwolves,48,27,Ben O'keeffe,Suncorp Stadium,10,7,0,1,2,0
126,Quarter Final,Hurricanes,Chiefs,32,31,Glen Jackson,Westpac Stadium,10,8,0,0,1,0
