,rounds,team_one,team_two,team_one_score,team_two_score,referee,venue,team_one_penalties,team_two_penalties,team_one_reds,team_two_reds,team_one_yellows,team_two_yellows
0,Week 3,Blues,Chiefs,21,27,Ben O'keeffe,Eden Park,8,10,0,0,0,0
1,Week 13,Bulls,Sharks,39,33,Rasta Rasivhenge,Loftus Versfeld,10,5,0,0,1,2
2,Week 17,Highlanders,Chiefs,22,45,Paul Williams,"ANZ National Stadium, Suva",10,9,0,0,1,1
3,Week 19,Sharks,Jaguares,20,10,Rasta Rasivhenge,Jonsson Kings Park,3,9,0,0,1,0
4,Week 6,Stormers,Reds,25,19,Marius van der westhuizen,DHL Newlands,5,11,0,0,0,0
5,Week 18,Stormers,Sharks,27,16,Jaco Peyper,DHL Newlands,6,11,0,0,0,0
6,Week 5,Chiefs,Bulls,41,28,Shuhei Kubo,FMG Stadium Waikato,12,9,0,0,0,1
7,Week 9,NSW Waratahs,Reds,37,16,Angus Gardner,Sydney Cricket Ground,10,7,0,0,0,0
8,Semi Final,Lions,NSW Waratahs,44,26,Glen Jackson,Emirates Airlines Park,7,15,0,0,0,1
9,Week 2,Bulls,Hurricanes,21,19,Rasta Rasivhenge,Loftus Versfeld,10,12,0,0,1,0
10,Week 19,NSW Waratahs,Brumbies,31,40,Angus Gardner,Allianz Stadium,9,8,0,0,1,1
11,Week 3,Jaguares,Hurricanes,9,34,Nick Briant,Estadio Jose Amalfitani,11,15,0,0,0,1
12,Week 14,Hurricanes,Reds,38,34,Ben O'keeffe,Westpac Stadium,6,7,0,0,0,0
13,Week 16,Highlanders,Hurricanes,30,14,Ben O'keeffe,Forsyth Barr Stadium,12,12,0,0,1,0
14,Week 17,Jaguares,Stormers,25,14,Angus Gardner,Estadio Jose Amalfitani,11,9,0,0,0,0
15,Week 4,Jaguares,NSW Waratahs,38,28,Michael Fraser,Estadio Jose Amalfitani,8,10,0,0,0,0
16,Week 18,Bulls,Jaguares,43,34,Egon Seconds,Loftus Versfeld,13,10,0,0,0,0
17,Week 19,Lions,Bulls,38,12,Marius van der westhuizen,Emirates Airlines Park,6,14,0,0,0,1
18,Week 17,Sunwolves,Bulls,42,37,Ben O'keeffe,Singapore National Stadium,11,7,0,0,1,0
